Student_ID,Name,Gender,Age,State,City,Marital_Status,Study_Hours,Marks,Attendance_Percentage,Sleep_Hours,Extra_Classes,Sports_Participation
36,Shlok Devan,Female,20,Telangana,Pimpri-Chinchwad,Single,4.87,23.67,89.03,4.0,No,Yes
37,Baiju Dayal,Male,22,Chhattisgarh,Saharsa,Single,7.05,32.65,95.51,8.1,No,Yes
38,Farhan Majumdar,Male,19,Himachal Pradesh,Alappuzha,Single,14.73,71.95,69.14,5.8,Yes,No
39,Aayush Mangat,Female,19,Sikkim,New Delhi,Single,1.95,11.89,81.53,6.7,No,No
40,Umang Karnik,Male,19,Tamil Nadu,Tiruppur,Single,8.26,41.69,71.51,7.4,No,Yes
41,Jivika Tak,Male,17,Assam,Baranagar,Single,3.51,14.58,71.89,7.5,No,No
42,Chirag Sagar,Female,22,Maharashtra,Yamunanagar,Single,14.59,72.12,65.52,8.8,No,No
43,Advika Soni,Male,20,Odisha,Jaunpur,Single,2.59,13.34,88.11,6.7,No,No
44,Seher Kala,Female,24,Arunachal Pradesh,Bikaner,Single,6.65,22.61,96.81,6.0,Yes,No
45,Indrans Rama,Male,20,Nagaland,Malegaon,Single,11.33,58.94,97.04,8.8,No,No
46,Zeeshan Raj,Female,21,Tripura,Navi Mumbai,Single,10.86,49.4,58.74,7.2,No,Yes
47,Hiran Atwal,Male,21,Chhattisgarh,Adoni,Single,6.92,28.83,93.74,5.5,No,Yes
48,Tara Yogi,Female,23,West Bengal,Kirari Suleman Nagar,Single,5.85,20.81,86.87,4.6,No,No
49,Raunak Gopal,Female,24,Himachal Pradesh,Kanpur,Single,6.57,23.88,62.64,8.2,Yes,No
50,Yasmin Dewan,Male,21,Haryana,Dehradun,Single,4.7,16.72,53.36,5.8,No,No
51,Kartik Kala,Other,19,Punjab,Kottayam,Single,3.87,15.8,63.4,7.3,No,No
52,Samar Chaudhuri,Female,20,Sikkim,Machilipatnam,Single,7.76,48.57,95.61,6.4,Yes,No
53,Mamooty Hora,Female,22,Punjab,Ahmednagar,Single,4.76,21.17,81.66,5.0,No,No
54,Sumer Khosla,Female,19,Uttar Pradesh,Jaipur,Single,5.02,25.99,86.05,7.0,No,Yes
55,Kimaya Sura,Female,17,Andhra Pradesh,Kolkata,Single,10.19,52.95,62.86,4.3,No,Yes
56,Aniruddh Sami,Female,21,Karnataka,Junagadh,Single,14.56,73.46,85.97,6.1,Yes,No
57,Nayantara Raj,Male,19,Uttar Pradesh,Etawah,Single,9.45,46.86,51.41,6.7,No,Yes
58,Yashvi Bhandari,Male,19,Maharashtra,Nagpur,Single,2.08,4.42,68.77,6.2,Yes,Yes
59,Chirag Hegde,Male,17,Madhya Pradesh,Hapur,Single,2.06,17.55,81.34,7.7,Yes,No
60,Yasmin Goda,Male,18,Chhattisgarh,Purnia,Single,14.32,80.64,57.3,8.1,No,No
61,Kartik Kakar,Male,20,Karnataka,Kanpur,Single,5.16,17.39,91.15,7.9,Yes,No
62,Emir Wali,Male,22,Maharashtra,Sambalpur,Single,2.29,6.33,61.75,4.2,Yes,Yes
63,Bhavin Keer,Female,23,Tamil Nadu,Amravati,Single,9.39,45.55,82.61,5.0,Yes,Yes
64,Miraan Dave,Male,18,Arunachal Pradesh,Raebareli,Single,9.73,43.83,70.26,6.7,Yes,Yes
65,Dhanuk Sharma,Male,21,Odisha,South Dumdum,Married,10.08,52.93,79.8,8.7,Yes,No
66,Sara Sama,Female,19,Haryana,Bhiwani,Single,4.74,20.06,55.37,8.2,No,Yes
67,Nehmat Comar,Male,24,West Bengal,Udupi,Single,1.21,16.88,50.85,8.2,Yes,No
68,Zoya Kala,Female,17,Goa,Ongole,Single,14.51,78.5,95.48,5.5,Yes,No
69,Uthkarsh Kanda,Male,17,Madhya Pradesh,Imphal,Single,4.51,23.61,63.48,6.1,Yes,No
70,Shayak Rana,Other,24,Punjab,Ulhasnagar,Single,10.46,57.43,90.98,6.4,No,Yes
71,Zoya Bhat,Female,20,Uttar Pradesh,Deoghar,Single,10.89,59.98,99.97,4.8,No,No
72,Nishith Char,Male,18,Karnataka,Katni,Single,9.54,44.88,60.57,4.2,No,No
73,Samarth Goswami,Male,23,Andhra Pradesh,Ahmedabad,Single,5.38,22.82,63.26,8.7,No,No
74,Nitara Bassi,Female,20,Tripura,Nadiad,Single,4.8,24.39,83.14,5.2,No,No
75,Neysa Sheth,Female,24,Bihar,Sikar,Single,9.37,51.16,98.27,5.2,No,Yes
76,Zeeshan Cherian,Female,19,Andhra Pradesh,Bokaro,Single,13.13,66.35,95.79,4.4,Yes,No
77,Nirvaan Sinha,Female,24,Meghalaya,Sirsa,Single,14.25,63.37,75.14,8.6,No,Yes
78,Jayesh Srinivasan,Male,20,Goa,Surat,Single,2.48,8.39,89.76,6.9,No,Yes
79,Ishaan Chakraborty,Male,22,Manipur,Tenali,Single,3.17,15.48,56.79,7.3,No,Yes
80,Hiran Maharaj,Male,17,Meghalaya,Pimpri-Chinchwad,Single,14.23,70.77,98.87,8.6,Yes,No
81,Renee Roy,Female,17,Jharkhand,Dharmavaram,Single,11.31,66.41,98.22,5.7,No,No
82,Yuvraj  Lall,Female,21,Bihar,Bulandshahr,Single,13.36,59.87,58.19,7.1,Yes,Yes
83,Jivin Kuruvilla,Male,21,Arunachal Pradesh,Singrauli,Single,3.84,21.73,64.97,4.2,Yes,No
84,Raghav Banik,Male,24,Chhattisgarh,Kota,Single,9.23,53.6,55.01,4.9,No,Yes
85,Anahita Behl,Male,23,Sikkim,Tiruchirappalli,Single,10.82,65.46,63.59,8.2,No,No
86,Faiyaz Mangat,Male,19,Andhra Pradesh,Amravati,Single,10.52,50.58,90.8,7.8,No,Yes
87,Anaya Ganesh,Female,22,Mizoram,Nadiad,Single,6.71,36.01,68.92,5.8,No,Yes
88,Ritvik Dugar,Female,18,Sikkim,Akola,Single,1.22,8.95,54.42,5.9,Yes,No
89,Yashvi Yohannan,Female,20,Chhattisgarh,Bareilly,Single,9.16,46.78,67.11,6.7,Yes,Yes
90,Priyansh Sani,Male,23,Assam,Madhyamgram,Married,4.54,22.21,99.07,4.0,Yes,No
91,Trisha Grover,Male,19,Bihar,Katihar,Single,7.3,38.68,81.48,5.2,No,Yes
92,Purab Tara,Female,21,Chhattisgarh,Warangal,Single,14.41,59.39,70.81,5.0,Yes,No
93,Zain Gulati,Female,24,Nagaland,Surat,Single,6.59,36.36,58.33,5.3,Yes,Yes
94,Hazel Viswanathan,Female,20,Goa,Panvel,Single,12.76,64.43,99.31,8.0,No,No
95,Lavanya Bhat,Female,21,Uttarakhand,Sultan Pur Majra,Single,3.64,17.09,91.04,5.4,Yes,No
96,Shray Jayaraman,Female,24,West Bengal,Sagar,Single,10.41,62.28,64.07,5.0,No,Yes
97,Adah Som,Female,20,Goa,Thoothukudi,Single,14.68,70.03,53.5,6.5,No,No
98,Aarush Mall,Male,18,Nagaland,Ramagundam,Single,2.43,10.13,52.83,8.3,No,Yes
99,Veer Kurian,Male,19,Nagaland,Nagaon,Single,1.12,15.56,56.02,5.2,No,No
100,Aarna Ray,Male,20,Odisha,Meerut,Single,7.07,31.19,79.04,4.4,No,Yes
101,Onkar Bhatt,Male,22,Rajasthan,Guntur,Single,2.3,8.75,96.44,5.8,Yes,No
102,Purab Borde,Female,23,Bihar,Cuttack,Single,11.48,56.66,74.84,7.7,No,No
103,Mishti Yadav,Male,17,Manipur,Bhalswa Jahangir Pur,Single,13.8,73.2,92.15,6.8,No,No
104,Arhaan Dora,Female,22,Meghalaya,Kurnool,Single,7.08,36.44,72.29,8.1,Yes,No
105,Neysa Datta,Female,22,Assam,Kanpur,Single,4.62,16.64,85.43,8.8,Yes,No
106,Fateh Sagar,Male,23,Chhattisgarh,Saharanpur,Single,7.08,32.74,86.59,8.0,No,No
107,Aradhya Shah,Male,17,Nagaland,Kozhikode,Married,11.13,52.61,58.7,7.0,No,No
108,Aradhya Mand,Female,22,Gujarat,Bhind,Single,1.13,5.26,68.06,6.5,No,No
109,Yuvaan Contractor,Male,20,Uttarakhand,Bihar Sharif,Single,9.25,48.38,81.87,4.2,No,Yes
110,Pihu Sampath,Male,20,Uttarakhand,Bhavnagar,Single,9.59,50.04,53.53,8.9,Yes,No
111,Dishani Gade,Male,20,Karnataka,Vellore,Single,9.93,40.77,68.08,5.9,No,No
112,Hrishita Dutta,Male,17,Tamil Nadu,Dindigul,Single,4.39,27.27,76.74,4.8,No,No
113,Shamik Bail,Female,22,Tripura,Khora ,Married,11.0,56.26,99.81,7.3,Yes,No
114,Ahana  Tiwari,Female,24,Karnataka,Bulandshahr,Single,2.28,18.32,73.73,5.4,No,Yes
115,Shlok Rastogi,Female,17,Kerala,Gopalpur,Single,3.79,21.17,90.8,6.9,No,No
116,Mahika Gandhi,Female,20,Andhra Pradesh,Mehsana,Single,13.28,71.91,71.6,6.9,No,Yes
117,Suhana Ramachandran,Female,23,Madhya Pradesh,Panipat,Single,11.34,59.03,89.82,6.2,Yes,Yes
118,Adah Sarkar,Male,22,Himachal Pradesh,Pallavaram,Single,1.19,12.68,79.77,8.2,No,Yes
119,Zoya Kadakia,Female,22,Telangana,Ambarnath,Single,4.48,25.01,94.33,5.3,No,No
120,Vaibhav Mand,Female,21,Goa,Gulbarga,Single,4.0,19.51,70.55,6.2,No,Yes
121,Sana Srinivas,Female,21,Kerala,Guna,Single,4.79,35.31,80.22,6.7,No,Yes
122,Vaibhav Rajan,Female,18,Bihar,Kota,Single,4.47,26.8,81.5,7.3,Yes,No
123,Abram Babu,Male,24,Assam,Shahjahanpur,Single,1.88,12.27,70.87,7.9,No,Yes
124,Riaan Edwin,Male,24,Telangana,Navi Mumbai,Single,7.43,30.77,57.22,6.0,No,Yes
125,Mannat Sahni,Male,19,Nagaland,Bhind,Single,11.26,49.86,54.68,7.2,Yes,Yes
126,Jayesh Tiwari,Male,24,Kerala,Haldia,Single,9.49,48.91,50.83,4.8,No,Yes
127,Amira Sampath,Female,21,Tamil Nadu,Karawal Nagar,Single,10.42,52.83,93.68,8.7,No,No
128,Gatik Rattan,Female,17,West Bengal,Silchar,Single,2.14,7.63,61.82,5.9,No,Yes
129,Ishaan Dave,Male,24,Goa,Mau,Single,14.32,72.3,60.58,7.6,Yes,No
130,Neysa Wali,Female,21,West Bengal,Darbhanga,Single,12.74,71.64,86.8,4.1,No,No
131,Jayant Sarma,Male,18,Jharkhand,Sikar,Single,12.27,64.83,66.0,5.0,No,Yes
132,Nirvi Khurana,Male,22,Uttar Pradesh,Anand,Single,12.52,56.89,75.3,6.4,No,Yes
133,Mannat Swaminathan,Male,24,Telangana,Jamnagar,Single,14.06,69.74,58.13,8.4,No,No
134,Samiha Krishnan,Male,18,Punjab,Chinsurah,Single,8.62,39.08,97.99,6.6,No,No
135,Rati Sarin,Female,22,Tamil Nadu,Amritsar,Single,3.8,17.06,92.58,8.6,Yes,Yes
136,Nirvi Garg,Male,23,Maharashtra,Shimla,Single,9.63,46.08,93.19,6.4,No,Yes
137,Inaaya  Hora,Female,23,Tamil Nadu,Bhalswa Jahangir Pur,Single,11.4,54.61,70.34,6.5,No,No
138,Vardaniya Barad,Female,22,Andhra Pradesh,Bareilly,Single,11.33,50.37,88.12,4.6,No,Yes
139,Vihaan Barad,Male,24,Karnataka,Kharagpur,Single,8.3,40.86,57.19,8.0,Yes,Yes
140,Emir Tata,Other,19,Mizoram,Gulbarga,Single,1.96,7.0,50.43,5.2,No,No
141,Raghav Shan,Other,21,Tamil Nadu,Sikar,Single,6.2,16.35,51.0,8.5,No,No
142,Yasmin Chana,Male,17,Uttarakhand,Muzaffarnagar,Single,13.89,79.71,79.33,8.6,No,Yes
143,Advika Shanker,Female,17,Assam,Gudivada,Single,9.18,51.34,72.77,8.7,Yes,No
144,Rasha Maharaj,Male,20,Punjab,Bhind,Single,8.54,40.82,75.9,6.6,Yes,Yes
145,Aarav Chahal,Male,22,Punjab,Durgapur,Single,4.76,23.89,50.37,7.4,No,No
146,Indrans Kadakia,Male,17,Meghalaya,Shivpuri,Single,6.16,24.94,71.13,7.9,Yes,No
147,Tushar Doctor,Female,24,Jharkhand,Medininagar,Single,13.53,76.13,85.9,4.7,No,No
148,Jiya Chandra,Female,19,Madhya Pradesh,Khora ,Single,10.33,61.14,72.13,7.0,Yes,No
149,Eshani Warrior,Male,22,Nagaland,Gulbarga,Single,12.02,60.88,86.61,4.2,No,No
150,Jayan Bhakta,Male,19,Mizoram,Siliguri,Single,7.36,41.92,61.65,6.5,No,No
151,Zara Salvi,Female,24,Uttarakhand,Ulhasnagar,Single,9.82,49.98,90.66,4.8,No,No
152,Ira Dua,Male,17,Jharkhand,Raiganj,Single,4.48,15.72,79.42,4.9,No,Yes
153,Yasmin Sane,Male,17,Rajasthan,Surendranagar Dudhrej,Single,10.88,52.34,60.54,5.8,No,No
154,Madhup Mahal,Female,20,Karnataka,Firozabad,Single,6.99,35.61,61.84,6.2,Yes,No
155,Rati Zachariah,Other,17,Andhra Pradesh,Bahraich,Married,7.2,33.73,81.4,7.1,Yes,No
156,Hansh Arora,Male,22,Kerala,Kadapa,Single,10.09,49.36,91.5,4.4,No,Yes
157,Jivika Dora,Female,24,Manipur,Dewas,Single,14.11,70.09,70.78,6.5,No,No
158,Nitya Manda,Female,23,Punjab,Bilaspur,Single,1.9,9.1,62.92,4.9,No,No
159,Neysa Sha,Male,24,Odisha,Pudukkottai,Single,12.55,63.01,93.35,6.9,No,No
160,Divij Chandra,Female,22,Goa,Guwahati,Single,5.09,20.15,83.46,7.2,No,No
161,Siya Handa,Male,22,Bihar,Imphal,Single,7.21,32.46,72.4,6.8,No,Yes
162,Rhea Krish,Female,20,Goa,Purnia,Single,1.31,0.13,74.4,7.7,Yes,Yes
163,Oorja Jaggi,Female,20,Rajasthan,Akola,Single,5.21,30.94,60.21,5.7,No,Yes
164,Prerak Dhar,Female,17,Goa,Indore,Single,8.04,29.67,81.34,7.8,No,Yes
165,Ritvik Master,Male,18,Jharkhand,Bellary,Single,1.79,14.72,67.94,6.2,No,No
166,Manikya Krishna,Female,24,Tripura,Nashik,Single,7.88,46.33,99.78,6.4,No,No
167,Kavya Soman,Male,24,West Bengal,Bhalswa Jahangir Pur,Single,13.98,68.39,74.01,7.2,No,No
168,Baiju Thakkar,Male,18,Himachal Pradesh,Thane,Single,2.48,0.0,74.29,4.1,No,No
169,Misha Raman,Male,20,Jharkhand,Pondicherry,Single,11.7,56.69,78.29,7.3,No,Yes
170,Jayant Kari,Female,17,Tripura,Chinsurah,Single,6.74,33.38,95.84,7.1,Yes,Yes
171,Misha Kumer,Female,18,Uttarakhand,Varanasi,Single,10.17,45.8,90.04,5.5,Yes,Yes
172,Kiaan Issac,Male,17,Gujarat,Aizawl,Single,4.64,20.62,72.56,4.4,No,Yes
173,Adira Jain,Female,17,Tamil Nadu,Kalyan-Dombivli,Single,3.23,23.8,85.93,4.5,No,No
174,Zain Sood,Male,17,Maharashtra,Singrauli,Single,3.25,19.57,79.31,8.6,No,Yes
175,Keya Varty,Female,21,Nagaland,Gulbarga,Single,1.99,5.33,74.62,7.4,Yes,Yes
176,Madhup Dalal,Male,22,Manipur,Faridabad,Single,3.6,10.01,59.62,4.6,Yes,Yes
177,Yuvraj  Rattan,Female,17,Sikkim,Orai,Single,10.3,49.86,73.2,5.8,No,No
178,Rohan Babu,Male,21,Gujarat,Arrah,Single,13.34,65.63,62.29,7.0,No,No
179,Mamooty Sem,Female,20,Odisha,Dibrugarh,Single,12.4,64.48,95.74,8.2,No,No
180,Darshit Dugar,Male,18,Mizoram,Korba,Single,10.59,50.27,66.77,4.2,No,No
181,Devansh Som,Male,22,Mizoram,Adoni,Single,2.55,15.31,97.61,5.2,Yes,No
182,Kimaya Lala,Male,23,Uttarakhand,Morbi,Single,5.05,34.93,76.65,8.4,No,Yes
183,Anika Gade,Female,18,Rajasthan,Madurai,Single,5.34,30.78,81.58,4.0,No,No
184,Uthkarsh Goda,Female,22,Haryana,Thiruvananthapuram,Single,4.5,22.26,77.15,5.0,Yes,No
185,Darshit Bhardwaj,Male,23,Meghalaya,Jammu,Single,8.21,40.13,56.47,8.8,No,No
186,Divij Malhotra,Female,18,Arunachal Pradesh,Bhusawal,Single,8.5,40.72,68.79,7.1,Yes,No
187,Tejas Srinivas,Female,22,West Bengal,Gudivada,Single,6.0,35.9,54.96,5.3,Yes,Yes
188,Indranil Sachar,Female,18,Telangana,Ozhukarai,Single,5.95,26.61,81.15,4.3,Yes,No
189,Kartik Kanda,Female,18,Uttarakhand,Jammu,Single,12.6,63.23,72.34,4.1,Yes,Yes
190,Hansh Bhatia,Male,23,Chhattisgarh,Bikaner,Single,12.05,60.51,88.9,5.2,No,No
191,Ehsaan Ravel,Male,18,Chhattisgarh,Kurnool,Single,5.31,24.04,61.02,8.4,No,Yes
192,Vaibhav Borde,Female,18,Rajasthan,Jodhpur,Single,13.79,62.09,58.23,6.1,No,Yes
193,Nehmat Ahuja,Female,23,Haryana,Jodhpur,Single,14.34,73.31,70.32,7.6,No,No
194,Shanaya Krishnan,Female,20,Nagaland,Bidar,Single,5.57,27.54,96.33,8.6,Yes,No
195,Priyansh Rastogi,Male,17,Goa,Siwan,Single,5.96,32.3,85.52,6.0,Yes,Yes
196,Misha Varughese,Male,24,Himachal Pradesh,Vellore,Single,8.08,37.73,70.95,5.0,No,No
197,Romil Garg,Female,19,Goa,Gurgaon,Married,14.18,77.0,75.86,6.6,No,No
198,Darshit Basu,Female,21,Odisha,Kulti,Single,13.27,61.97,54.21,8.5,Yes,Yes
199,Pari Ben,Female,19,Himachal Pradesh,Jehanabad,Single,2.44,20.76,99.23,8.0,No,No
200,Yuvaan Wali,Female,19,West Bengal,Tumkur,Single,6.5,23.76,83.32,4.3,No,No
201,Ishaan Thakkar,Female,22,Gujarat,Ambala,Single,8.75,45.92,64.27,7.5,No,No
202,Hazel Karpe,Male,17,West Bengal,Tumkur,Single,8.04,42.58,79.29,6.9,No,Yes
203,Stuvan Khanna,Male,22,Rajasthan,Sangli-Miraj & Kupwad,Single,3.71,14.57,55.47,8.5,Yes,Yes
204,Pranay Sangha,Female,17,Goa,Sambhal,Single,13.02,67.22,98.29,4.6,No,No
205,Mishti Soni,Female,23,Meghalaya,Bhiwani,Single,10.48,58.8,58.74,6.7,Yes,No
206,Bhamini Sule,Male,23,Manipur,Noida,Single,12.73,52.57,82.4,8.4,No,No
207,Krish Chadha,Male,24,Meghalaya,Suryapet,Single,13.02,67.61,62.27,6.1,Yes,Yes
208,Ryan Dyal,Female,17,Rajasthan,Gandhinagar,Single,11.48,44.93,85.88,6.4,No,No
209,Ayesha Kothari,Male,18,Odisha,Gurgaon,Single,7.15,30.92,88.84,4.4,Yes,No
210,Gokul Andra,Male,20,Punjab,Pudukkottai,Single,9.55,55.9,83.67,5.4,No,Yes
211,Divit Saha,Female,24,Punjab,Nizamabad,Single,3.25,13.34,80.72,5.6,No,No
212,Baiju Tak,Female,24,Mizoram,Asansol,Single,10.43,46.28,94.62,8.7,No,No
213,Keya Guha,Female,18,Chhattisgarh,Malegaon,Single,3.51,16.56,53.93,5.4,No,Yes
214,Hrishita Zachariah,Male,20,Tamil Nadu,Sangli-Miraj & Kupwad,Single,10.72,63.94,66.55,6.3,No,No
215,Mohanlal Mani,Female,22,Meghalaya,Panchkula,Single,4.21,11.89,62.41,7.4,No,Yes
216,Aaina Korpal,Male,20,West Bengal,Solapur,Single,2.65,7.99,99.4,4.8,No,No
217,Ivana Sabharwal,Male,22,Gujarat,Fatehpur,Single,3.31,24.04,69.47,6.4,No,No
218,Hridaan Lad,Female,23,Assam,Adoni,Single,1.03,14.44,86.63,7.7,No,No
219,Jivin Kala,Female,19,Tripura,Dhule,Single,11.06,54.78,84.24,8.3,No,No
220,Hazel Venkatesh,Female,23,Chhattisgarh,Hapur,Single,11.25,50.05,60.6,7.1,No,No
221,Sana Tripathi,Female,23,Mizoram,Sultan Pur Majra,Married,8.21,51.53,61.95,7.3,No,Yes
222,Ehsaan Chaudry,Female,19,Goa,Rajpur Sonarpur,Single,3.26,24.27,64.06,4.6,No,No
223,Sumer Saraf,Male,20,Nagaland,Dehri,Single,2.17,14.24,70.56,8.7,No,Yes
224,Bhavin Taneja,Male,24,Himachal Pradesh,Bhilwara,Single,1.27,2.29,61.72,4.7,No,Yes
225,Ivan Chaudry,Male,20,Punjab,Bikaner,Single,3.32,16.35,50.98,7.9,Yes,Yes
226,Miraan Madan,Male,22,Tamil Nadu,Ahmedabad,Single,13.47,66.55,93.97,5.3,No,No
227,Rohan Chaudhary,Other,18,Punjab,Nanded,Single,4.38,23.55,98.28,8.7,No,Yes
228,Navya Sanghvi,Male,22,Maharashtra,Gorakhpur,Married,5.96,37.06,67.08,7.6,No,Yes
229,Lakshit Rout,Female,18,Manipur,Alwar,Single,2.47,16.75,66.93,7.8,No,Yes
230,Lakshay Kannan,Female,23,Rajasthan,Bhiwani,Single,4.11,15.16,50.35,5.1,Yes,Yes
231,Sana Gour,Female,19,Gujarat,Tinsukia,Single,8.27,48.23,84.01,6.2,No,No
232,Dhanush Sastry,Female,23,Odisha,Ambala,Single,9.51,49.12,91.27,7.1,No,No
233,Samaira Kara,Female,17,Uttar Pradesh,Amaravati,Single,4.43,25.59,57.33,7.8,No,Yes
234,Jivika Bajaj,Female,20,Uttarakhand,Ulhasnagar,Married,1.81,16.38,57.98,4.5,Yes,No
235,Hiran Hayre,Male,18,West Bengal,Thrissur,Single,6.47,26.79,89.5,8.8,No,No
236,Seher Anne,Female,22,Karnataka,Siwan,Single,4.28,21.22,80.81,8.5,No,No
237,Biju Dhaliwal,Male,19,Bihar,Baranagar,Single,4.07,17.69,52.24,5.4,Yes,No
238,Urvi Varkey,Male,18,Kerala,Ulhasnagar,Single,14.44,64.36,81.13,8.1,No,No
239,Prisha Thaman,Female,22,Chhattisgarh,Hindupur,Single,9.63,49.88,65.45,6.6,Yes,Yes
240,Miraya Samra,Male,20,Andhra Pradesh,Raebareli,Single,8.8,56.56,68.44,6.3,No,No
241,Umang Mammen,Female,23,Mizoram,Nellore,Single,6.82,24.9,88.49,5.6,Yes,No
242,Kiara Chawla,Female,20,Maharashtra,Mysore,Single,7.01,34.89,90.55,6.9,Yes,No
243,Dhanuk Char,Female,21,Sikkim,Raiganj,Single,8.57,46.05,70.02,7.6,No,No
244,Dharmajan Chowdhury,Male,17,Manipur,Jodhpur,Single,10.75,54.37,97.36,6.1,Yes,Yes
245,Vidur Kapadia,Male,21,Chhattisgarh,Hyderabad,Single,10.83,53.58,70.32,7.1,Yes,No
246,Purab Vora,Female,19,Goa,North Dumdum,Single,3.4,10.5,88.59,7.5,No,No
247,Kiaan Bhatnagar,Male,18,Jharkhand,Satara,Single,8.0,41.16,74.19,7.6,No,Yes
248,Emir Khurana,Other,19,Bihar,Vellore,Single,6.77,30.07,94.88,4.3,No,Yes
249,Aaina Guha,Other,23,Nagaland,Solapur,Single,13.19,55.0,95.39,8.3,No,No
250,Zeeshan Sinha,Female,22,Gujarat,Proddatur,Single,9.84,55.17,54.37,6.3,No,No
251,Anay Talwar,Male,20,Manipur,Amaravati,Single,8.46,47.09,96.82,5.3,No,No
252,Vivaan Thakur,Male,21,Bihar,Siliguri,Single,2.62,13.36,91.28,5.2,Yes,No
253,Jivika Buch,Female,24,Haryana,Raichur,Single,9.48,48.55,89.57,6.4,Yes,No
254,Yakshit Chahal,Male,21,Bihar,Tadepalligudem,Single,2.64,18.57,60.05,8.4,No,Yes
255,Arhaan Bhasin,Male,23,Punjab,Raebareli,Single,5.72,29.72,90.26,5.9,No,Yes
256,Sumer Tata,Female,21,Karnataka,Kolkata,Single,3.0,19.52,92.51,7.7,No,Yes
257,Aniruddh Kulkarni,Female,23,Nagaland,Darbhanga,Single,10.69,51.96,64.46,4.5,No,Yes
258,Myra Amble,Female,24,Uttar Pradesh,Nellore,Single,3.89,26.01,97.61,6.4,No,Yes
